feedback_id,customer_id,plan_tier,nps_score,product_area,feedback_text,submitted_date
FB0001,U0026,Free,4,Pricing,Enterprise pricing is not competitive. We're evaluating alternatives.,2025-02-10
FB0002,U0251,Pro,4,Mobile App,Push notifications are unreliable. Sometimes they arrive hours late.,2025-01-29
FB0003,U0143,Enterprise,5,Mobile App,The mobile experience is way behind the desktop version.,2025-01-06
FB0004,U0559,Pro,4,Mobile App,Mobile app crashes every time I try to edit a task description.,2025-01-03
FB0005,U0433,Free,6,Search,The search function doesn't find anything unless you type the exact title.,2025-03-24
FB0006,U0031,Enterprise,6,Search,Search is basically useless. Can never find tasks I know exist.,2025-01-09
FB0007,U0224,Free,4,Mobile App,Mobile app crashes every time I try to edit a task description.,2025-01-19
FB0008,U0518,Free,6,Onboarding,Why isn't there a guided setup? I had to watch YouTube videos to understand the basics.,2025-03-15
FB0009,U0575,Free,4,Pricing,The jump from Free to Pro is too steep. Need a middle tier.,2025-03-19
FB0010,U0559,Enterprise,5,Export,Tried to export our quarterly review and the file was corrupted.,2025-02-18
FB0011,U0226,Free,6,Search,Can't search by assignee or date range. Basic functionality missing.,2025-03-15
FB0012,U0285,Free,6,Pricing,Would gladly pay more for the features we actually use instead of paying for everything.,2025-01-18
FB0013,U0164,Pro,9,General,FlowBoard has transformed how our team works. Best decision we made.,2025-03-26
FB0014,U0349,Free,6,Pricing,We love FlowBoard but the pricing for a 50-person team is hard to justify.,2025-02-13
FB0015,U0160,Pro,4,Search,I spend 10 minutes searching for things that should take 10 seconds.,2025-03-17
FB0016,U0345,Free,6,Onboarding,Why isn't there a guided setup? I had to watch YouTube videos to understand the basics.,2025-02-08
FB0017,U0095,Free,4,Onboarding,It took me 3 days to figure out how to create my first project. Needs a better tutorial.,2025-01-05
FB0018,U0100,Free,3,Search,Can't search by assignee or date range. Basic functionality missing.,2025-03-26
FB0019,U0353,Free,6,Onboarding,Signed up last week and still don't understand the difference between boards and projects.,2025-02-05
FB0020,U0271,Free,4,Search,We have 500+ tasks and finding anything is a nightmare.,2025-02-26
FB0021,U0471,Pro,8,General,FlowBoard has transformed how our team works. Best decision we made.,2025-03-06
FB0022,U0128,Pro,6,Search,Tried searching for a task by keyword and got zero results. It was right there.,2025-01-23
FB0023,U0081,Pro,3,Export,Exported data has duplicate rows. Spent 2 hours cleaning it up.,2025-01-15
FB0024,U0301,Free,2,Onboarding,I invited 5 team members and 3 of them couldn't figure out how to create tasks.,2025-01-29
FB0025,U0592,Enterprise,5,Export,The export feature crashes when there are more than 200 tasks.,2025-03-15
FB0026,U0072,Free,5,Pricing,Price increase was unexpected. Would appreciate more notice.,2025-02-01
FB0027,U0234,Pro,8,General,FlowBoard has transformed how our team works. Best decision we made.,2025-01-14
FB0028,U0082,Enterprise,10,General,The timeline view is perfect for managing dependencies across teams.,2025-03-02
FB0029,U0104,Pro,10,Automations,Just set up 5 automations and they're working perfectly. Great feature.,2025-01-09
FB0030,U0285,Free,4,Search,Can't search by assignee or date range. Basic functionality missing.,2025-01-12
FB0031,U0374,Pro,8,General,The API is well documented. Our integration was done in a day.,2025-03-18
FB0032,U0380,Free,6,Pricing,You charge per user but half our team barely uses it. Need a different model.,2025-03-06
FB0033,U0215,Free,2,Onboarding,Signed up last week and still don't understand the difference between boards and projects.,2025-01-06
FB0034,U0074,Free,4,Pricing,Great product but honestly overpriced compared to competitors.,2025-01-26
FB0035,U0547,Enterprise,4,Export,The CSV export includes HTML tags in the description field. Unusable.,2025-01-03
FB0036,U0168,Pro,5,Export,Tried to export our quarterly review and the file was corrupted.,2025-03-31
FB0037,U0389,Pro,2,Export,Why can't I export filtered views? I have to export everything and filter in Excel.,2025-03-22
FB0038,U0571,Pro,6,Search,I spend 10 minutes searching for things that should take 10 seconds.,2025-01-06
FB0039,U0333,Free,4,Onboarding,Why isn't there a guided setup? I had to watch YouTube videos to understand the basics.,2025-02-04
FB0040,U0235,Enterprise,3,Search,Search is basically useless. Can never find tasks I know exist.,2025-02-08
FB0041,U0324,Free,5,Export,Exported a report and half the columns were missing. Had to redo manually.,2025-01-08
FB0042,U0275,Free,9,Automations,Automations + integrations = magic. This is why we chose FlowBoard.,2025-01-26
FB0043,U0217,Enterprise,5,Export,PDF export is broken. Charts don't render and dates are formatted wrong.,2025-03-09
FB0044,U0218,Pro,4,Export,The export feature crashes when there are more than 200 tasks.,2025-02-24
FB0045,U0406,Free,5,Export,Why can't I export filtered views? I have to export everything and filter in Excel.,2025-01-24
